name,email,password,role
hruiz,amber37@example.net,OI1MQ0ycM),seller
crystal48,valdezsarah@example.com,^U@h2Ky*x^,buyer
roberthernandez,lisacummings@example.org,!ZbAuU8EU4,buyer
duffysteve,sara99@example.net,Vl1cXQsIc),admin
leslie32,codycaldwell@example.net,%LE+Oc)xO0,admin
william84,wreyes@example.net,y)e1Zu$4N0,admin
kevinwall,kellyhicks@example.org,1zU_^KWu+W,admin
smithdaniel,jondoyle@example.org,$yi7HZbNdS,seller
jboyle,gflores@example.com,^%XVoYu8v5,buyer
robert80,mdrake@example.org,)P)9yczlZ9,admin
millercourtney,melissalopez@example.org,(6HhS5hS#l,admin
mike05,tkim@example.org,*4TX8Uv5*5,seller
shelley77,froberts@example.net,+#TJ4BUc13,seller
jennifermason,smithjade@example.org,idAUx4IYD*,admin
mramos,ramoskyle@example.org,)5(RGQLWCz,buyer
cyoung,adam19@example.org,)bYU@ntEp2,buyer
flowersmeghan,patelgregory@example.com,)D^zR2Fsya,buyer
twhite,eric27@example.net,s4+&3mRfGk,admin
josephwilson,ashley10@example.org,_xaWxli8C0,buyer
craiglong,uhenry@example.net,V%3UNvYPcj,seller
jessica88,robertsdeanna@example.net,+_Tw7Oh^I&,seller
gjenkins,christophergrimes@example.net,1j2XcFcq*I,seller
joshuablackburn,brendagriffin@example.net,u9yR@VUZ)w,seller
rstevens,sclark@example.net,_#RbuHdH5R,buyer
kchapman,nduncan@example.net,W+4#RfWokZ,admin
williamschristopher,luisphillips@example.org,+f2LzPTIRf,seller
thompsonkelly,patelpaul@example.org,*A)Ls4GrE7,seller
crystalramirez,lambertkevin@example.net,E%nf4V9e&V,buyer
zlambert,dukechristine@example.org,m1)1RBDn^l,admin
brownmary,ocruz@example.net,XW&lV1YsjY,admin
crawfordchristopher,ashleyjohnson@example.org,U9ZpJIz^@f,admin
gonzalezrachael,hoffmanmichael@example.com,^LU8kQDru0,buyer
